"computerName","datetime","CounterCategory","CounterName","Instance","Value"
"sfbkamehameha","2018-05-6 11:03:16","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 11:03:17","processor(_total)","% processor time","_total","0.91"
"sfbkamehameha","2018-05-6 11:03:17","memory","available mbytes",,"2637"
"sfbkamehameha","2018-05-6 11:03:17","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-6 11:03:17","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 11:03:17","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-6 11:03:17","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","298.75"
"sfbkamehameha","2018-05-6 11:03:17","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 11:03:18","processor(_total)","% processor time","_total","0"
"sfbkamehameha","2018-05-6 11:03:18","memory","available mbytes",,"2637"
"sfbkamehameha","2018-05-6 11:03:18","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.03"
"sfbkamehameha","2018-05-6 11:03:18","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 11:03:18","physicaldisk(_total)","avg. disk sec/transfer","_total","0.03"
"sfbkamehameha","2018-05-6 11:03:18","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","302.33"
"sfbkamehameha","2018-05-6 11:03:18","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 11:03:19","processor(_total)","% processor time","_total","6.1"
"sfbkamehameha","2018-05-6 11:03:19","memory","available mbytes",,"2637"
"sfbkamehameha","2018-05-6 11:03:19","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.02"
"sfbkamehameha","2018-05-6 11:03:19","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 11:03:19","physicaldisk(_total)","avg. disk sec/transfer","_total","0.02"
"sfbkamehameha","2018-05-6 11:03:19","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","299.21"
"sfbkamehameha","2018-05-6 11:03:19","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 11:03:20","processor(_total)","% processor time","_total","3.15"
"sfbkamehameha","2018-05-6 11:03:20","memory","available mbytes",,"2637"
"sfbkamehameha","2018-05-6 11:03:20","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-6 11:03:20","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 11:03:20","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-6 11:03:20","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","306.54"
"sfbkamehameha","2018-05-6 11:03:20","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 11:03:21","processor(_total)","% processor time","_total","0.33"
"sfbkamehameha","2018-05-6 11:03:21","memory","available mbytes",,"2638"
"sfbkamehameha","2018-05-6 11:03:21","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.03"
"sfbkamehameha","2018-05-6 11:03:21","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 11:03:21","physicaldisk(_total)","avg. disk sec/transfer","_total","0.03"
"sfbkamehameha","2018-05-6 11:03:21","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","301.18"
"sfbkamehameha","2018-05-6 11:03:21","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 11:03:22","processor(_total)","% processor time","_total","0.32"
"sfbkamehameha","2018-05-6 11:03:22","memory","available mbytes",,"2641"
"sfbkamehameha","2018-05-6 11:03:22","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.01"
"sfbkamehameha","2018-05-6 11:03:22","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 11:03:22","physicaldisk(_total)","avg. disk sec/transfer","_total","0.01"
"sfbkamehameha","2018-05-6 11:03:22","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","364.11"
"sfbkamehameha","2018-05-6 11:03:22","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 11:03:23","processor(_total)","% processor time","_total","0.31"
"sfbkamehameha","2018-05-6 11:03:23","memory","available mbytes",,"2643"
"sfbkamehameha","2018-05-6 11:03:23","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.02"
"sfbkamehameha","2018-05-6 11:03:23","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 11:03:23","physicaldisk(_total)","avg. disk sec/transfer","_total","0.02"
"sfbkamehameha","2018-05-6 11:03:23","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","681.4"
"sfbkamehameha","2018-05-6 11:03:23","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 11:03:24","processor(_total)","% processor time","_total","1.1"
"sfbkamehameha","2018-05-6 11:03:24","memory","available mbytes",,"2643"
"sfbkamehameha","2018-05-6 11:03:24","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.02"
"sfbkamehameha","2018-05-6 11:03:24","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 11:03:24","physicaldisk(_total)","avg. disk sec/transfer","_total","0.02"
"sfbkamehameha","2018-05-6 11:03:24","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","301.8"
"sfbkamehameha","2018-05-6 11:03:24","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 11:03:25","processor(_total)","% processor time","_total","1.83"
"sfbkamehameha","2018-05-6 11:03:25","memory","available mbytes",,"2644"
"sfbkamehameha","2018-05-6 11:03:25","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.03"
"sfbkamehameha","2018-05-6 11:03:25","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 11:03:25","physicaldisk(_total)","avg. disk sec/transfer","_total","0.03"
"sfbkamehameha","2018-05-6 11:03:25","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","301.23"
"sfbkamehameha","2018-05-6 11:03:25","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 11:03:26","processor(_total)","% processor time","_total","1.5"
"sfbkamehameha","2018-05-6 11:03:26","memory","available mbytes",,"2644"
"sfbkamehameha","2018-05-6 11:03:26","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.03"
"sfbkamehameha","2018-05-6 11:03:26","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 11:03:26","physicaldisk(_total)","avg. disk sec/transfer","_total","0.03"
"sfbkamehameha","2018-05-6 11:03:26","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","300.58"
"sfbkamehameha","2018-05-6 11:03:26","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 11:03:27","processor(_total)","% processor time","_total","2.96"
"sfbkamehameha","2018-05-6 11:03:27","memory","available mbytes",,"2645"
"sfbkamehameha","2018-05-6 11:03:27","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.02"
"sfbkamehameha","2018-05-6 11:03:27","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 11:03:27","physicaldisk(_total)","avg. disk sec/transfer","_total","0.02"
"sfbkamehameha","2018-05-6 11:03:27","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","304.01"
"sfbkamehameha","2018-05-6 11:03:27","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 11:03:28","processor(_total)","% processor time","_total","0.3"
"sfbkamehameha","2018-05-6 11:03:28","memory","available mbytes",,"2645"
"sfbkamehameha","2018-05-6 11:03:28","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-6 11:03:28","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 11:03:28","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-6 11:03:28","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","301.09"
"sfbkamehameha","2018-05-6 11:03:28","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 11:03:29","processor(_total)","% processor time","_total","0"
"sfbkamehameha","2018-05-6 11:03:29","memory","available mbytes",,"2645"
"sfbkamehameha","2018-05-6 11:03:29","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.01"
"sfbkamehameha","2018-05-6 11:03:29","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 11:03:29","physicaldisk(_total)","avg. disk sec/transfer","_total","0.01"
"sfbkamehameha","2018-05-6 11:03:29","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","300.76"
"sfbkamehameha","2018-05-6 11:03:29","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 11:03:30","processor(_total)","% processor time","_total","0.67"
"sfbkamehameha","2018-05-6 11:03:30","memory","available mbytes",,"2645"
"sfbkamehameha","2018-05-6 11:03:30","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.02"
"sfbkamehameha","2018-05-6 11:03:30","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 11:03:30","physicaldisk(_total)","avg. disk sec/transfer","_total","0.02"
"sfbkamehameha","2018-05-6 11:03:30","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","301.5"
"sfbkamehameha","2018-05-6 11:03:30","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 11:03:32","processor(_total)","% processor time","_total","1.5"
"sfbkamehameha","2018-05-6 11:03:32","memory","available mbytes",,"2646"
"sfbkamehameha","2018-05-6 11:03:32","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.03"
"sfbkamehameha","2018-05-6 11:03:32","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 11:03:32","physicaldisk(_total)","avg. disk sec/transfer","_total","0.03"
"sfbkamehameha","2018-05-6 11:03:32","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","300.96"
"sfbkamehameha","2018-05-6 11:03:32","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 11:03:33","processor(_total)","% processor time","_total","2.53"
"sfbkamehameha","2018-05-6 11:03:33","memory","available mbytes",,"2645"
"sfbkamehameha","2018-05-6 11:03:33","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-6 11:03:33","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 11:03:33","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
