"computerName","datetime","CounterCategory","CounterName","Item","Value","WholeCounter"
"e2016site2","2018-05-5 09:31:32","network interface(isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6})","bytes total/sec","isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6}","0","network interface(isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6})-bytes total/sec"
"e2016site1","2018-05-5 09:31:33","processor(_total)","% processor time","_total","0.76","processor(_total)-% processor time"
"e2016site2","2018-05-5 09:31:33","processor(_total)","% processor time","_total","0","processor(_total)-% processor time"
"e2016site1","2018-05-5 09:31:33","msexchange rpcclientaccess","rpc averaged latency",,"14","msexchange rpcclientaccess-rpc averaged latency"
"e2016site2","2018-05-5 09:31:33","msexchange rpcclientaccess","rpc averaged latency",,"25","msexchange rpcclientaccess-rpc averaged latency"
"e2016site1","2018-05-5 09:31:33","msexchange rpcclientaccess","rpc requests",,"0","msexchange rpcclientaccess-rpc requests"
"e2016site2","2018-05-5 09:31:33","msexchange rpcclientaccess","rpc requests",,"0","msexchange rpcclientaccess-rpc requests"
"e2016site1","2018-05-5 09:31:33","memory","available mbytes",,"934","memory-available mbytes"
"e2016site2","2018-05-5 09:31:33","memory","available mbytes",,"853","memory-available mbytes"
"e2016site1","2018-05-5 09:31:33","physicaldisk(1)","avg. disk sec/transfer","1","0","physicaldisk(1)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:33","physicaldisk(2)","avg. disk sec/transfer","2","0","physicaldisk(2)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:33","physicaldisk(3)","avg. disk sec/transfer","3","0","physicaldisk(3)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:33","physicaldisk(4)","avg. disk sec/transfer","4","0","physicaldisk(4)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:33","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0","physicaldisk(0 c:)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:33","physicaldisk(_total)","avg. disk sec/transfer","_total","0","physicaldisk(_total)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:33","physicaldisk(1)","avg. disk sec/transfer","1","0","physicaldisk(1)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:33","physicaldisk(2)","avg. disk sec/transfer","2","0","physicaldisk(2)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:33","physicaldisk(3)","avg. disk sec/transfer","3","0","physicaldisk(3)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:33","physicaldisk(4)","avg. disk sec/transfer","4","0","physicaldisk(4)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:33","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0","physicaldisk(0 c:)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:33","physicaldisk(_total)","avg. disk sec/transfer","_total","0","physicaldisk(_total)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:33","network interface(microsoft hyper-v network adapter)","bytes total/sec","microsoft hyper-v network adapter","65633.35","network interface(microsoft hyper-v network adapter)-bytes total/sec"
"e2016site1","2018-05-5 09:31:33","network interface(isatap.msftonlinerepro.com)","bytes total/sec","isatap.msftonlinerepro.com","0","network interface(isatap.msftonlinerepro.com)-bytes total/sec"
"e2016site1","2018-05-5 09:31:33","network interface(isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be})","bytes total/sec","isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be}","0","network interface(isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be})-bytes total/sec"
"e2016site2","2018-05-5 09:31:33","network interface(microsoft hyper-v network adapter)","bytes total/sec","microsoft hyper-v network adapter","31660.15","network interface(microsoft hyper-v network adapter)-bytes total/sec"
"e2016site2","2018-05-5 09:31:33","network interface(isatap.msftonlinerepro.com)","bytes total/sec","isatap.msftonlinerepro.com","0","network interface(isatap.msftonlinerepro.com)-bytes total/sec"
"e2016site2","2018-05-5 09:31:33","network interface(isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6})","bytes total/sec","isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6}","0","network interface(isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6})-bytes total/sec"
"e2016site1","2018-05-5 09:31:34","processor(_total)","% processor time","_total","0","processor(_total)-% processor time"
"e2016site2","2018-05-5 09:31:34","processor(_total)","% processor time","_total","0","processor(_total)-% processor time"
"e2016site1","2018-05-5 09:31:34","msexchange rpcclientaccess","rpc averaged latency",,"14","msexchange rpcclientaccess-rpc averaged latency"
"e2016site2","2018-05-5 09:31:34","msexchange rpcclientaccess","rpc averaged latency",,"25","msexchange rpcclientaccess-rpc averaged latency"
"e2016site1","2018-05-5 09:31:34","msexchange rpcclientaccess","rpc requests",,"0","msexchange rpcclientaccess-rpc requests"
"e2016site2","2018-05-5 09:31:34","msexchange rpcclientaccess","rpc requests",,"0","msexchange rpcclientaccess-rpc requests"
"e2016site1","2018-05-5 09:31:34","memory","available mbytes",,"934","memory-available mbytes"
"e2016site2","2018-05-5 09:31:34","memory","available mbytes",,"853","memory-available mbytes"
"e2016site1","2018-05-5 09:31:34","physicaldisk(1)","avg. disk sec/transfer","1","0","physicaldisk(1)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:34","physicaldisk(2)","avg. disk sec/transfer","2","0","physicaldisk(2)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:34","physicaldisk(3)","avg. disk sec/transfer","3","0","physicaldisk(3)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:34","physicaldisk(4)","avg. disk sec/transfer","4","0","physicaldisk(4)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:34","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0","physicaldisk(0 c:)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:34","physicaldisk(_total)","avg. disk sec/transfer","_total","0","physicaldisk(_total)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:34","physicaldisk(1)","avg. disk sec/transfer","1","0","physicaldisk(1)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:34","physicaldisk(2)","avg. disk sec/transfer","2","0","physicaldisk(2)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:34","physicaldisk(3)","avg. disk sec/transfer","3","0","physicaldisk(3)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:34","physicaldisk(4)","avg. disk sec/transfer","4","0","physicaldisk(4)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:34","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0","physicaldisk(0 c:)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:34","physicaldisk(_total)","avg. disk sec/transfer","_total","0","physicaldisk(_total)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:34","network interface(microsoft hyper-v network adapter)","bytes total/sec","microsoft hyper-v network adapter","31261.65","network interface(microsoft hyper-v network adapter)-bytes total/sec"
"e2016site1","2018-05-5 09:31:34","network interface(isatap.msftonlinerepro.com)","bytes total/sec","isatap.msftonlinerepro.com","0","network interface(isatap.msftonlinerepro.com)-bytes total/sec"
"e2016site1","2018-05-5 09:31:34","network interface(isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be})","bytes total/sec","isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be}","0","network interface(isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be})-bytes total/sec"
"e2016site2","2018-05-5 09:31:34","network interface(microsoft hyper-v network adapter)","bytes total/sec","microsoft hyper-v network adapter","42544.99","network interface(microsoft hyper-v network adapter)-bytes total/sec"
"e2016site2","2018-05-5 09:31:34","network interface(isatap.msftonlinerepro.com)","bytes total/sec","isatap.msftonlinerepro.com","0","network interface(isatap.msftonlinerepro.com)-bytes total/sec"
"e2016site2","2018-05-5 09:31:34","network interface(isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6})","bytes total/sec","isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6}","0","network interface(isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6})-bytes total/sec"
"e2016site1","2018-05-5 09:31:35","processor(_total)","% processor time","_total","0","processor(_total)-% processor time"
"e2016site2","2018-05-5 09:31:35","processor(_total)","% processor time","_total","7.03","processor(_total)-% processor time"
"e2016site1","2018-05-5 09:31:35","msexchange rpcclientaccess","rpc averaged latency",,"14","msexchange rpcclientaccess-rpc averaged latency"
"e2016site2","2018-05-5 09:31:35","msexchange rpcclientaccess","rpc averaged latency",,"25","msexchange rpcclientaccess-rpc averaged latency"
"e2016site1","2018-05-5 09:31:35","msexchange rpcclientaccess","rpc requests",,"0","msexchange rpcclientaccess-rpc requests"
"e2016site2","2018-05-5 09:31:35","msexchange rpcclientaccess","rpc requests",,"0","msexchange rpcclientaccess-rpc requests"
"e2016site1","2018-05-5 09:31:35","memory","available mbytes",,"934","memory-available mbytes"
"e2016site2","2018-05-5 09:31:35","memory","available mbytes",,"853","memory-available mbytes"
"e2016site1","2018-05-5 09:31:35","physicaldisk(1)","avg. disk sec/transfer","1","0","physicaldisk(1)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:35","physicaldisk(2)","avg. disk sec/transfer","2","0","physicaldisk(2)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:35","physicaldisk(3)","avg. disk sec/transfer","3","0","physicaldisk(3)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:35","physicaldisk(4)","avg. disk sec/transfer","4","0","physicaldisk(4)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:35","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0","physicaldisk(0 c:)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:35","physicaldisk(_total)","avg. disk sec/transfer","_total","0","physicaldisk(_total)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:35","physicaldisk(1)","avg. disk sec/transfer","1","0","physicaldisk(1)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:35","physicaldisk(2)","avg. disk sec/transfer","2","0","physicaldisk(2)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:35","physicaldisk(3)","avg. disk sec/transfer","3","0","physicaldisk(3)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:35","physicaldisk(4)","avg. disk sec/transfer","4","0","physicaldisk(4)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:35","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0","physicaldisk(0 c:)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:35","physicaldisk(_total)","avg. disk sec/transfer","_total","0","physicaldisk(_total)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:35","network interface(microsoft hyper-v network adapter)","bytes total/sec","microsoft hyper-v network adapter","29921.52","network interface(microsoft hyper-v network adapter)-bytes total/sec"
"e2016site1","2018-05-5 09:31:35","network interface(isatap.msftonlinerepro.com)","bytes total/sec","isatap.msftonlinerepro.com","0","network interface(isatap.msftonlinerepro.com)-bytes total/sec"
"e2016site1","2018-05-5 09:31:35","network interface(isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be})","bytes total/sec","isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be}","0","network interface(isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be})-bytes total/sec"
"e2016site2","2018-05-5 09:31:35","network interface(microsoft hyper-v network adapter)","bytes total/sec","microsoft hyper-v network adapter","27970.8","network interface(microsoft hyper-v network adapter)-bytes total/sec"
"e2016site2","2018-05-5 09:31:35","network interface(isatap.msftonlinerepro.com)","bytes total/sec","isatap.msftonlinerepro.com","0","network interface(isatap.msftonlinerepro.com)-bytes total/sec"
"e2016site2","2018-05-5 09:31:35","network interface(isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6})","bytes total/sec","isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6}","0","network interface(isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6})-bytes total/sec"
"e2016site1","2018-05-5 09:31:36","processor(_total)","% processor time","_total","0","processor(_total)-% processor time"
"e2016site2","2018-05-5 09:31:36","processor(_total)","% processor time","_total","1.59","processor(_total)-% processor time"
"e2016site1","2018-05-5 09:31:36","msexchange rpcclientaccess","rpc averaged latency",,"14","msexchange rpcclientaccess-rpc averaged latency"
"e2016site2","2018-05-5 09:31:36","msexchange rpcclientaccess","rpc averaged latency",,"25","msexchange rpcclientaccess-rpc averaged latency"
"e2016site1","2018-05-5 09:31:36","msexchange rpcclientaccess","rpc requests",,"0","msexchange rpcclientaccess-rpc requests"
"e2016site2","2018-05-5 09:31:36","msexchange rpcclientaccess","rpc requests",,"0","msexchange rpcclientaccess-rpc requests"
"e2016site1","2018-05-5 09:31:36","memory","available mbytes",,"934","memory-available mbytes"
"e2016site2","2018-05-5 09:31:36","memory","available mbytes",,"853","memory-available mbytes"
"e2016site1","2018-05-5 09:31:36","physicaldisk(1)","avg. disk sec/transfer","1","0","physicaldisk(1)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:36","physicaldisk(2)","avg. disk sec/transfer","2","0","physicaldisk(2)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:36","physicaldisk(3)","avg. disk sec/transfer","3","0","physicaldisk(3)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:36","physicaldisk(4)","avg. disk sec/transfer","4","0","physicaldisk(4)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:36","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0","physicaldisk(0 c:)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:36","physicaldisk(_total)","avg. disk sec/transfer","_total","0","physicaldisk(_total)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:36","physicaldisk(1)","avg. disk sec/transfer","1","0","physicaldisk(1)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:36","physicaldisk(2)","avg. disk sec/transfer","2","0","physicaldisk(2)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:36","physicaldisk(3)","avg. disk sec/transfer","3","0","physicaldisk(3)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:36","physicaldisk(4)","avg. disk sec/transfer","4","0","physicaldisk(4)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:36","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0","physicaldisk(0 c:)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:36","physicaldisk(_total)","avg. disk sec/transfer","_total","0","physicaldisk(_total)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:36","network interface(microsoft hyper-v network adapter)","bytes total/sec","microsoft hyper-v network adapter","30495.53","network interface(microsoft hyper-v network adapter)-bytes total/sec"
"e2016site1","2018-05-5 09:31:36","network interface(isatap.msftonlinerepro.com)","bytes total/sec","isatap.msftonlinerepro.com","0","network interface(isatap.msftonlinerepro.com)-bytes total/sec"
"e2016site1","2018-05-5 09:31:36","network interface(isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be})","bytes total/sec","isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be}","0","network interface(isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be})-bytes total/sec"
"e2016site2","2018-05-5 09:31:36","network interface(microsoft hyper-v network adapter)","bytes total/sec","microsoft hyper-v network adapter","113331.88","network interface(microsoft hyper-v network adapter)-bytes total/sec"
"e2016site2","2018-05-5 09:31:36","network interface(isatap.msftonlinerepro.com)","bytes total/sec","isatap.msftonlinerepro.com","0","network interface(isatap.msftonlinerepro.com)-bytes total/sec"
"e2016site2","2018-05-5 09:31:36","network interface(isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6})","bytes total/sec","isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6}","0","network interface(isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6})-bytes total/sec"
"e2016site1","2018-05-5 09:31:37","processor(_total)","% processor time","_total","1.16","processor(_total)-% processor time"
"e2016site2","2018-05-5 09:31:37","processor(_total)","% processor time","_total","0.37","processor(_total)-% processor time"
"e2016site1","2018-05-5 09:31:37","msexchange rpcclientaccess","rpc averaged latency",,"14","msexchange rpcclientaccess-rpc averaged latency"
"e2016site2","2018-05-5 09:31:37","msexchange rpcclientaccess","rpc averaged latency",,"25","msexchange rpcclientaccess-rpc averaged latency"
"e2016site1","2018-05-5 09:31:37","msexchange rpcclientaccess","rpc requests",,"0","msexchange rpcclientaccess-rpc requests"
"e2016site2","2018-05-5 09:31:37","msexchange rpcclientaccess","rpc requests",,"0","msexchange rpcclientaccess-rpc requests"
"e2016site1","2018-05-5 09:31:37","memory","available mbytes",,"934","memory-available mbytes"
"e2016site2","2018-05-5 09:31:37","memory","available mbytes",,"853","memory-available mbytes"
"e2016site1","2018-05-5 09:31:37","physicaldisk(1)","avg. disk sec/transfer","1","0","physicaldisk(1)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:37","physicaldisk(2)","avg. disk sec/transfer","2","0","physicaldisk(2)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:37","physicaldisk(3)","avg. disk sec/transfer","3","0","physicaldisk(3)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:37","physicaldisk(4)","avg. disk sec/transfer","4","0","physicaldisk(4)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:37","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0","physicaldisk(0 c:)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:37","physicaldisk(_total)","avg. disk sec/transfer","_total","0","physicaldisk(_total)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:37","physicaldisk(1)","avg. disk sec/transfer","1","0","physicaldisk(1)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:37","physicaldisk(2)","avg. disk sec/transfer","2","0","physicaldisk(2)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:37","physicaldisk(3)","avg. disk sec/transfer","3","0","physicaldisk(3)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:37","physicaldisk(4)","avg. disk sec/transfer","4","0","physicaldisk(4)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:37","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0","physicaldisk(0 c:)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:37","physicaldisk(_total)","avg. disk sec/transfer","_total","0","physicaldisk(_total)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:37","network interface(microsoft hyper-v network adapter)","bytes total/sec","microsoft hyper-v network adapter","29889.83","network interface(microsoft hyper-v network adapter)-bytes total/sec"
"e2016site1","2018-05-5 09:31:37","network interface(isatap.msftonlinerepro.com)","bytes total/sec","isatap.msftonlinerepro.com","0","network interface(isatap.msftonlinerepro.com)-bytes total/sec"
"e2016site1","2018-05-5 09:31:37","network interface(isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be})","bytes total/sec","isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be}","0","network interface(isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be})-bytes total/sec"
"e2016site2","2018-05-5 09:31:37","network interface(microsoft hyper-v network adapter)","bytes total/sec","microsoft hyper-v network adapter","27973.77","network interface(microsoft hyper-v network adapter)-bytes total/sec"
"e2016site2","2018-05-5 09:31:37","network interface(isatap.msftonlinerepro.com)","bytes total/sec","isatap.msftonlinerepro.com","0","network interface(isatap.msftonlinerepro.com)-bytes total/sec"
"e2016site2","2018-05-5 09:31:37","network interface(isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6})","bytes total/sec","isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6}","0","network interface(isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6})-bytes total/sec"
"e2016site1","2018-05-5 09:31:38","processor(_total)","% processor time","_total","0.39","processor(_total)-% processor time"
"e2016site2","2018-05-5 09:31:38","processor(_total)","% processor time","_total","1.18","processor(_total)-% processor time"
"e2016site1","2018-05-5 09:31:38","msexchange rpcclientaccess","rpc averaged latency",,"14","msexchange rpcclientaccess-rpc averaged latency"
"e2016site2","2018-05-5 09:31:38","msexchange rpcclientaccess","rpc averaged latency",,"25","msexchange rpcclientaccess-rpc averaged latency"
"e2016site1","2018-05-5 09:31:38","msexchange rpcclientaccess","rpc requests",,"0","msexchange rpcclientaccess-rpc requests"
"e2016site2","2018-05-5 09:31:38","msexchange rpcclientaccess","rpc requests",,"0","msexchange rpcclientaccess-rpc requests"
"e2016site1","2018-05-5 09:31:38","memory","available mbytes",,"934","memory-available mbytes"
"e2016site2","2018-05-5 09:31:38","memory","available mbytes",,"853","memory-available mbytes"
"e2016site1","2018-05-5 09:31:38","physicaldisk(1)","avg. disk sec/transfer","1","0","physicaldisk(1)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:38","physicaldisk(2)","avg. disk sec/transfer","2","0","physicaldisk(2)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:38","physicaldisk(3)","avg. disk sec/transfer","3","0","physicaldisk(3)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:38","physicaldisk(4)","avg. disk sec/transfer","4","0","physicaldisk(4)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:38","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0","physicaldisk(0 c:)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:38","physicaldisk(_total)","avg. disk sec/transfer","_total","0","physicaldisk(_total)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:38","physicaldisk(1)","avg. disk sec/transfer","1","0","physicaldisk(1)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:38","physicaldisk(2)","avg. disk sec/transfer","2","0","physicaldisk(2)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:38","physicaldisk(3)","avg. disk sec/transfer","3","0","physicaldisk(3)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:38","physicaldisk(4)","avg. disk sec/transfer","4","0","physicaldisk(4)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:38","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0","physicaldisk(0 c:)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:38","physicaldisk(_total)","avg. disk sec/transfer","_total","0","physicaldisk(_total)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:38","network interface(microsoft hyper-v network adapter)","bytes total/sec","microsoft hyper-v network adapter","31698.64","network interface(microsoft hyper-v network adapter)-bytes total/sec"
"e2016site1","2018-05-5 09:31:38","network interface(isatap.msftonlinerepro.com)","bytes total/sec","isatap.msftonlinerepro.com","0","network interface(isatap.msftonlinerepro.com)-bytes total/sec"
"e2016site1","2018-05-5 09:31:38","network interface(isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be})","bytes total/sec","isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be}","0","network interface(isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be})-bytes total/sec"
"e2016site2","2018-05-5 09:31:38","network interface(microsoft hyper-v network adapter)","bytes total/sec","microsoft hyper-v network adapter","28301.84","network interface(microsoft hyper-v network adapter)-bytes total/sec"
"e2016site2","2018-05-5 09:31:38","network interface(isatap.msftonlinerepro.com)","bytes total/sec","isatap.msftonlinerepro.com","0","network interface(isatap.msftonlinerepro.com)-bytes total/sec"
"e2016site2","2018-05-5 09:31:38","network interface(isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6})","bytes total/sec","isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6}","0","network interface(isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6})-bytes total/sec"
"e2016site1","2018-05-5 09:31:39","processor(_total)","% processor time","_total","0","processor(_total)-% processor time"
"e2016site2","2018-05-5 09:31:39","processor(_total)","% processor time","_total","0","processor(_total)-% processor time"
"e2016site1","2018-05-5 09:31:39","msexchange rpcclientaccess","rpc averaged latency",,"14","msexchange rpcclientaccess-rpc averaged latency"
"e2016site2","2018-05-5 09:31:39","msexchange rpcclientaccess","rpc averaged latency",,"25","msexchange rpcclientaccess-rpc averaged latency"
"e2016site1","2018-05-5 09:31:39","msexchange rpcclientaccess","rpc requests",,"0","msexchange rpcclientaccess-rpc requests"
"e2016site2","2018-05-5 09:31:39","msexchange rpcclientaccess","rpc requests",,"0","msexchange rpcclientaccess-rpc requests"
"e2016site1","2018-05-5 09:31:39","memory","available mbytes",,"934","memory-available mbytes"
"e2016site2","2018-05-5 09:31:39","memory","available mbytes",,"853","memory-available mbytes"
"e2016site1","2018-05-5 09:31:39","physicaldisk(1)","avg. disk sec/transfer","1","0","physicaldisk(1)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:39","physicaldisk(2)","avg. disk sec/transfer","2","0","physicaldisk(2)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:39","physicaldisk(3)","avg. disk sec/transfer","3","0","physicaldisk(3)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:39","physicaldisk(4)","avg. disk sec/transfer","4","0","physicaldisk(4)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:39","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0","physicaldisk(0 c:)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:39","physicaldisk(_total)","avg. disk sec/transfer","_total","0","physicaldisk(_total)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:39","physicaldisk(1)","avg. disk sec/transfer","1","0","physicaldisk(1)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:39","physicaldisk(2)","avg. disk sec/transfer","2","0","physicaldisk(2)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:39","physicaldisk(3)","avg. disk sec/transfer","3","0","physicaldisk(3)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:39","physicaldisk(4)","avg. disk sec/transfer","4","0","physicaldisk(4)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:39","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0","physicaldisk(0 c:)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:39","physicaldisk(_total)","avg. disk sec/transfer","_total","0","physicaldisk(_total)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:39","network interface(microsoft hyper-v network adapter)","bytes total/sec","microsoft hyper-v network adapter","32310.85","network interface(microsoft hyper-v network adapter)-bytes total/sec"
"e2016site1","2018-05-5 09:31:39","network interface(isatap.msftonlinerepro.com)","bytes total/sec","isatap.msftonlinerepro.com","0","network interface(isatap.msftonlinerepro.com)-bytes total/sec"
"e2016site1","2018-05-5 09:31:39","network interface(isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be})","bytes total/sec","isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be}","0","network interface(isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be})-bytes total/sec"
"e2016site2","2018-05-5 09:31:39","network interface(microsoft hyper-v network adapter)","bytes total/sec","microsoft hyper-v network adapter","30637.45","network interface(microsoft hyper-v network adapter)-bytes total/sec"
"e2016site2","2018-05-5 09:31:39","network interface(isatap.msftonlinerepro.com)","bytes total/sec","isatap.msftonlinerepro.com","0","network interface(isatap.msftonlinerepro.com)-bytes total/sec"
"e2016site2","2018-05-5 09:31:39","network interface(isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6})","bytes total/sec","isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6}","0","network interface(isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6})-bytes total/sec"
