"ComputerName","DateTime","CounterCategory","CounterName","Instance","Value"
"e2016site2","2018-05-6 03:42:55","msexchangeis store(systemmailboxes)","rpc average latency","systemmailboxes","0"
"e2016site2","2018-05-6 03:42:55","msexchangeis store(dag1-db1)","rpc average latency","dag1-db1","0"
"e2016site2","2018-05-6 03:42:55","msexchangeis store(_total)","rpc average latency","_total","0"
"e2016site1","2018-05-6 03:42:55","msexchange rpcclientaccess","rpc requests",,"0"
"e2016site2","2018-05-6 03:42:55","msexchange rpcclientaccess","rpc requests",,"0"
"e2016site1","2018-05-6 03:42:55","memory","available mbytes",,"1345"
"e2016site2","2018-05-6 03:42:55","memory","available mbytes",,"1110"
"e2016site1","2018-05-6 03:42:55","physicaldisk(1)","avg. disk sec/transfer","1","0"
"e2016site1","2018-05-6 03:42:55","physicaldisk(2)","avg. disk sec/transfer","2","0"
"e2016site1","2018-05-6 03:42:55","physicaldisk(3)","avg. disk sec/transfer","3","0"
"e2016site1","2018-05-6 03:42:55","physicaldisk(4)","avg. disk sec/transfer","4","0"
"e2016site1","2018-05-6 03:42:55","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"e2016site1","2018-05-6 03:42:55","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"e2016site2","2018-05-6 03:42:55","physicaldisk(1)","avg. disk sec/transfer","1","0"
"e2016site2","2018-05-6 03:42:55","physicaldisk(2)","avg. disk sec/transfer","2","0"
